,year,team_name,ball_possession
524,2017,Angers SCO,9.9
525,2017,SM Caen,9.9
526,2017,FC Toulouse,9.9
527,2017,FC Metz,9.9
528,2018,Paris Saint-Germain,9.9
529,2018,Olympique Lyon,0.0
530,2018,Olympique Marseille,0.0
531,2018,OGC Nice,0.0
532,2018,Nîmes Olympique,0.0
533,2018,RC Strasbourg Alsace,0.0
534,2018,Angers SCO,9.9
535,2018,Amiens SC,9.9
536,2018,AS Monaco,0.0
537,2018,SM Caen,0.0
538,2018,LOSC Lille,0.0
539,2018,AS Saint-Étienne,0.0
540,2018,Montpellier HSC,9.9
541,2018,Stade Reims,0.0
542,2018,Stade Rennais FC,0.0
543,2018,FC Nantes,9.9
544,2018,FC Girondins Bordeaux,0.0
545,2018,FC Toulouse,0.0
546,2018,Dijon FCO,0.0
547,2018,EA Guingamp,0.0
548,2019,Paris Saint-Germain,65.7
549,2019,Stade Rennais FC,49.3
550,2019,Stade Reims,52.9
551,2019,Olympique Lyon,54.5
552,2019,AS Monaco,52.6
553,2019,RC Strasbourg Alsace,50.4
554,2019,FC Nantes,46.1
555,2019,FC Metz,43.5
556,2019,AS Saint-Étienne,47.0
557,2019,Amiens SC,45.4
558,2019,Olympique Marseille,56.7
559,2019,LOSC Lille,54.9
560,2019,OGC Nice,54.1
561,2019,Montpellier HSC,46.6
562,2019,Angers SCO,45.5
563,2019,FC Girondins Bordeaux,56.2
564,2019,Stade Brestois 29,49.6
565,2019,Dijon FCO,46.0
566,2019,Nîmes Olympique,47.7
567,2019,FC Toulouse,40.9
568,2020,LOSC Lille,53.9
569,2020,AS Monaco,55.9
570,2020,Olympique Marseille,53.9
571,2020,RC Lens,51.1
572,2020,OGC Nice,54.4
573,2020,AS Saint-Étienne,48.3
574,2020,Angers SCO,46.3
575,2020,RC Strasbourg Alsace,45.6
576,2020,Stade Brestois 29,49.6
577,2020,Nîmes Olympique,43.8
578,2020,Paris Saint-Germain,63.4
579,2020,Olympique Lyon,54.9
580,2020,Stade Rennais FC,59.5
581,2020,Montpellier HSC,45.3
582,2020,FC Metz,45.3
583,2020,FC Girondins Bordeaux,49.7
584,2020,Stade Reims,43.9
585,2020,FC Lorient,44.2
586,2020,FC Nantes,43.8
587,2020,Dijon FCO,45.9
588,2021,Paris Saint-Germain,63.3
589,2021,AS Monaco,53.7
590,2021,OGC Nice,51.5
591,2021,RC Lens,51.8
592,2021,FC Nantes,43.6
593,2021,Stade Brestois 29,43.8
594,2021,Montpellier HSC,48.0
595,2021,ESTAC Troyes,44.2
596,2021,Clermont Foot 63,49.9
597,2021,FC Metz,42.8
598,2021,Olympique Marseille,62.1
599,2021,Stade Rennais FC,56.3
600,2021,RC Strasbourg Alsace,49.3
601,2021,Olympique Lyon,58.6
602,2021,LOSC Lille,50.8
603,2021,Stade Reims,42.1
604,2021,Angers SCO,48.6
605,2021,FC Lorient,44.2
606,2021,AS Saint-Étienne,48.7
607,2021,FC Girondins Bordeaux,47.3
