agent_id,agent_name,player_id,season
4142,Unique Sports Group,461882,2018
1061,World in Motion,118287,2018
440,Wasserman,197838,2018
440,Wasserman,398065,2018
206,P&P Sport ...,292417,2018
12,PRO Profil GmbH,79642,2018
2295,ROOF,29692,2018
4142,Unique Sports Group,140191,2018
4142,Unique Sports Group,92571,2018
1881,Sport Cover,181380,2018
440,Wasserman,74223,2018
190,CAA Stellar,242606,2018
206,P&P Sport ...,101213,2018
3756,DOUBLE DIAMOND ...,18935,2018
6670,Hernan Berman,135853,2018
3703,ProStar,69015,2018
4142,Unique Sports Group,104124,2018
4173,SMI Sports ...,22614,2018
190,CAA Stellar,48066,2018
440,Wasserman,15220,2018
1061,World in Motion,427568,2018
440,Wasserman,177476,2018
4142,Unique Sports Group,357658,2018
4142,Unique Sports Group,90836,2018
440,Wasserman,175745,2018
440,Wasserman,253677,2018
190,CAA Stellar,61841,2018
190,CAA Stellar,249089,2018
4434,OmniSports,223047,2018
440,Wasserman,562254,2018
440,Wasserman,146795,2018
2295,ROOF,87672,2018
4434,OmniSports,287528,2018
4142,Unique Sports Group,277033,2018
4142,Unique Sports Group,123682,2018
1,ROGON,91059,2018
440,Wasserman,3875,2018
440,Wasserman,398402,2018
190,CAA Stellar,52570,2018
4142,Unique Sports Group,99331,2018
969,Fabryka Futbolu,243028,2018
440,Wasserman,340990,2018
586,SEG,253765,2018
190,CAA Stellar,163744,2018
190,CAA Stellar,181579,2018
4142,Unique Sports Group,226973,2018
1881,Sport Cover,232271,2018
5078,ARETÉ,129078,2018
190,CAA Stellar,184672,2018
2295,ROOF,37304,2018
1973,BSP FOOTBALL AGENCY,112343,2018
440,Wasserman,29712,2018
413,Gestifute,45026,2018
1061,World in Motion,285033,2018
1881,Sport Cover,142310,2018
9029,Refuel Performance ...,285583,2018
1061,World in Motion,128901,2018
1061,World in Motion,67252,2018
440,Wasserman,525247,2018
413,Gestifute,171679,2018
413,Gestifute,225161,2018
4142,Unique Sports Group,504581,2018
413,Gestifute,29364,2018
440,Wasserman,168157,2018
413,Gestifute,149716,2018
190,CAA Stellar,429014,2018
413,Gestifute,173900,2018
641,YMU Group,183283,2018
413,Gestifute,340950,2018
413,Gestifute,204103,2018
5015,TFM Agency,181781,2018
5181,Lions Sports AG & ...,345772,2018
413,Gestifute,361254,2018
190,CAA Stellar,45494,2018
440,Wasserman,183284,2018
4611,Panthera Sports,52119,2018
4142,Unique Sports Group,477758,2018
4434,OmniSports,78959,2018
440,Wasserman,47995,2018
4142,Unique Sports Group,157506,2018
1,ROGON,146164,2018
1881,Sport Cover,46791,2018
4142,Unique Sports Group,61842,2018
4142,Unique Sports Group,244130,2018
190,CAA Stellar,95435,2018
1061,World in Motion,116648,2018
440,Wasserman,108354,2018
5588,JP PACHON SPORTS,45882,2018
1292,Solbakken / Player ...,42234,2018
1406,YOU FIRST,207302,2018
190,CAA Stellar,145466,2018
5078,ARETÉ,158623,2018
4142,Unique Sports Group,123275,2018
4142,Unique Sports Group,406558,2018
190,CAA Stellar,9335,2018
728,SPOCS Global Sports,74960,2018
4142,Unique Sports Group,99397,2018
4142,Unique Sports Group,183318,2018
440,Wasserman,127108,2018
199,Sports360 GmbH,135343,2018
2722,Universal Twenty Two,85475,2018
190,CAA Stellar,98240,2018
190,CAA Stellar,484389,2018
4142,Unique Sports Group,170321,2018
190,CAA Stellar,162029,2018
190,CAA Stellar,71292,2018
440,Wasserman,61644,2018
4142,Unique Sports Group,206225,2018
11470,BOIM FOOTBALL ...,246968,2018
4142,Unique Sports Group,196522,2018
9029,Refuel Performance ...,13572,2018
4142,Unique Sports Group,365544,2018
440,Wasserman,60744,2018
9029,Refuel Performance ...,38145,2018
4837,Goal Management,76467,2018
586,SEG,335245,2018
206,P&P Sport ...,112302,2018
2252,HCM Sports ...,252345,2018
3654,Go Pro Sport ...,308801,2018
440,Wasserman,120565,2018
11226,BoostMySport,303259,2018
1817,Promoesport,236513,2018
1406,YOU FIRST,459463,2018
10669,11MANGMT,295331,2018
190,CAA Stellar,192080,2018
4434,OmniSports,40204,2018
4173,SMI Sports ...,128904,2018
4142,Unique Sports Group,641441,2018
440,Wasserman,91317,2018
440,Wasserman,40613,2018
190,CAA Stellar,89231,2018
4142,Unique Sports Group,584769,2018
190,CAA Stellar,4072,2018
440,Wasserman,48078,2018
190,CAA Stellar,148153,2018
440,Wasserman,61814,2018
190,CAA Stellar,403151,2018
1292,Solbakken / Player ...,367284,2018
440,Wasserman,335593,2018
5041,AC Talent,433976,2018
4142,Unique Sports Group,49755,2018
3051,ESHA,238809,2018
4142,Unique Sports Group,38094,2018
4434,OmniSports,90964,2018
4173,SMI Sports ...,120241,2018
190,CAA Stellar,63821,2018
4142,Unique Sports Group,344004,2018
4142,Unique Sports Group,195680,2018
1817,Promoesport,263856,2018
4142,Unique Sports Group,126014,2018
4142,Unique Sports Group,104586,2018
190,CAA Stellar,66994,2018
4142,Unique Sports Group,238185,2018
1061,World in Motion,124172,2018
2773,11WINS,371021,2019
413,Gestifute,238223,2019
440,Wasserman,14555,2019
413,Gestifute,54781,2019
440,Wasserman,186590,2019
1881,Sport Cover,157495,2019
5663,VIDA 11,277179,2019
413,Gestifute,182712,2019
4016,KIN Partners,53622,2019
413,Gestifute,241641,2019
4142,Unique Sports Group,433183,2019
13,LIAN Sports Group,192565,2019
6003,Eleven Talent Group,26399,2019
190,CAA Stellar,340918,2019
1,ROGON,85864,2019
4853,UKSPORTMANAGEMENT.CO...,14044,2019
440,Wasserman,505046,2019
2295,ROOF,139208,2019
2654,Key United,541231,2019
2295,ROOF,37838,2019
440,Wasserman,256178,2019
190,CAA Stellar,554250,2019
2295,ROOF,696324,2019
2295,ROOF,85177,2019
4142,Unique Sports Group,618495,2019
440,Wasserman,347481,2019
440,Wasserman,485583,2019
413,Gestifute,225693,2019
440,Wasserman,503680,2019
4142,Unique Sports Group,470606,2019
1817,Promoesport,242273,2019
2295,ROOF,61651,2019
2295,ROOF,302215,2019
440,Wasserman,433188,2019
440,Wasserman,314253,2019
4142,Unique Sports Group,655990,2019
440,Wasserman,565420,2019
3051,ESHA,86792,2019
190,CAA Stellar,344015,2019
190,CAA Stellar,43530,2019
2295,ROOF,200512,2019
2295,ROOF,565822,2019
1,ROGON,131789,2019
2295,ROOF,406560,2019
4142,Unique Sports Group,580801,2019
4142,Unique Sports Group,428016,2019
641,YMU Group,554173,2019
4126,A-GROUP,43250,2019
190,CAA Stellar,192765,2019
190,CAA Stellar,249126,2019
440,Wasserman,568006,2019
5078,ARETÉ,406638,2019
11284,DCGLOBALSL,348795,2019
4408,MRP.POSITIONUMBER,337800,2019
4142,Unique Sports Group,392775,2019
1881,Sport Cover,215679,2019
3861,Muy Manero,284165,2019
4142,Unique Sports Group,552655,2019
5041,AC Talent,192279,2019
3625,FSB – ...,86202,2019
190,CAA Stellar,396859,2019
4016,KIN Partners,196948,2019
4142,Unique Sports Group,392757,2019
13,LIAN Sports Group,112515,2019
4142,Unique Sports Group,485585,2019
4142,Unique Sports Group,472423,2019
7867,VPA Sports,51471,2019
190,CAA Stellar,202886,2019
190,CAA Stellar,423744,2019
440,Wasserman,147034,2019
2295,ROOF,331726,2019
1881,Sport Cover,179184,2019
190,CAA Stellar,30690,2019
2252,HCM Sports ...,184573,2019
190,CAA Stellar,93176,2019
440,Wasserman,117996,2019
4434,OmniSports,531677,2019
190,CAA Stellar,183288,2019
5078,ARETÉ,506965,2019
10778,Tier One,285845,2019
2377,Signature - ISCM AG,111455,2019
282,Rafaela Pimenta,55735,2019
5015,TFM Agency,655488,2019
8083,Premier Sports ...,58864,2019
190,CAA Stellar,130164,2019
4567,NINE Group,48870,2019
440,Wasserman,329813,2019
440,Wasserman,4311,2019
440,Wasserman,289446,2019
440,Wasserman,419325,2019
440,Wasserman,110860,2019
440,Wasserman,221025,2019
190,CAA Stellar,90466,2019
440,Wasserman,50362,2019
440,Wasserman,33713,2019
4142,Unique Sports Group,503733,2019
2773,11WINS,306024,2019
206,P&P Sport ...,511550,2019
206,P&P Sport ...,16911,2019
190,CAA Stellar,203026,2019
440,Wasserman,320141,2019
1061,World in Motion,67252,2019
7562,FutureBall,293168,2019
440,Wasserman,505194,2019
190,CAA Stellar,316125,2019
1406,YOU FIRST,6636,2019
413,Gestifute,215876,2019
190,CAA Stellar,413220,2019
440,Wasserman,341501,2019
440,Wasserman,73522,2019
2893,MARTIN RIHA,129588,2019
440,Wasserman,475188,2019
440,Wasserman,197838,2019
206,P&P Sport ...,292417,2019
440,Wasserman,398065,2019
11470,BOIM FOOTBALL ...,246968,2019
413,Gestifute,45026,2019
1061,World in Motion,285033,2019
4016,KIN Partners,420808,2019
440,Wasserman,29712,2019
440,Wasserman,525247,2019
413,Gestifute,539807,2019
4142,Unique Sports Group,504581,2019
440,Wasserman,614084,2019
413,Gestifute,171679,2019
413,Gestifute,225161,2019
4567,NINE Group,293283,2019
440,Wasserman,168157,2019
440,Wasserman,463758,2019
1061,World in Motion,532541,2019
413,Gestifute,29364,2019
6908,NVA SEG,511815,2019
4434,OmniSports,502073,2019
413,Gestifute,415646,2019
190,CAA Stellar,429014,2019
4434,OmniSports,614603,2019
413,Gestifute,256977,2019
413,Gestifute,340950,2019
6670,Hernan Berman,135853,2019
4173,SMI Sports ...,22614,2019
3703,ProStar,69015,2019
4142,Unique Sports Group,357658,2019
440,Wasserman,15220,2019
3051,ESHA,195906,2019
1061,World in Motion,427568,2019
190,CAA Stellar,480116,2019
1061,World in Motion,582078,2019
440,Wasserman,177476,2019
4142,Unique Sports Group,90836,2019
4142,Unique Sports Group,249356,2019
190,CAA Stellar,61841,2019
